model_id,n,n_self,self_prop,y_mean,X_mean,context_mean,n_control,both_levels,self_within_ss,rep,seed
3,100,30,0.3,0.59,-0.3333509277137523,-0.06477319710415211,70,True,21.0,11,92620011
4,100,74,0.74,0.63,0.546524687903231,-0.06477319710415211,26,True,19.240000000000002,11,92620011
5,100,28,0.28,0.59,-0.4601899258051958,-0.06477319710415211,72,True,20.16,11,92620011
6,100,79,0.79,0.6,0.5142499490966674,-0.06477319710415211,21,True,16.589999999999996,11,92620011
7,100,2,0.02,0.55,-1.6142467836679852,-0.06477319710415211,98,True,1.96,11,92620011
8,100,61,0.61,0.66,0.2548860006114335,-0.06477319710415211,39,True,23.79,11,92620011
9,100,80,0.8,0.64,0.47760108942634716,-0.06477319710415211,20,True,15.999999999999996,11,92620011
10,100,84,0.84,0.65,0.9012461838439272,-0.06477319710415211,16,True,13.440000000000003,11,92620011
11,100,0,0.0,0.55,-1.6124507550319687,-0.06477319710415211,100,False,0.0,11,92620011
12,100,13,0.13,0.6,-0.8072221054434792,-0.06477319710415211,87,True,11.31,11,92620011
13,100,92,0.92,0.57,1.2452069747658037,-0.06477319710415211,8,True,7.359999999999996,11,92620011
14,100,65,0.65,0.67,0.28819879185170727,-0.06477319710415211,35,True,22.75,11,92620011
15,100,54,0.54,0.62,0.04256768258498056,-0.06477319710415211,46,True,24.839999999999996,11,92620011
16,100,33,0.33,0.7,-0.40751186769427505,-0.06477319710415211,67,True,22.11,11,92620011
17,100,62,0.62,0.57,0.3020177095945744,-0.06477319710415211,38,True,23.56,11,92620011
18,100,3,0.03,0.58,-1.5214509398719773,-0.06477319710415211,97,True,2.91,11,92620011
19,100,95,0.95,0.65,1.371508337927818,-0.06477319710415211,5,True,4.750000000000004,11,92620011
20,100,75,0.75,0.72,0.45650949478635283,-0.06477319710415211,25,True,18.75,11,92620011
21,100,78,0.78,0.6,0.5347559349407192,-0.06477319710415211,22,True,17.159999999999997,11,92620011
22,100,94,0.94,0.66,1.1675888686141338,-0.06477319710415211,6,True,5.640000000000005,11,92620011
23,100,9,0.09,0.57,-1.1278581368161067,-0.06477319710415211,91,True,8.19,11,92620011
0,100,12,0.12,0.64,-0.9705726801865265,-0.047278346139217185,88,True,10.56,12,92620012
1,100,21,0.21,0.54,-0.596400485980757,-0.047278346139217185,79,True,16.59,12,92620012
2,100,11,0.11,0.6,-0.8787903805280308,-0.047278346139217185,89,True,9.790000000000001,12,92620012
3,100,42,0.42,0.57,-0.20062113310813956,-0.047278346139217185,58,True,24.360000000000003,12,92620012
4,100,12,0.12,0.55,-1.0405229259490145,-0.047278346139217185,88,True,10.56,12,92620012
5,100,9,0.09,0.56,-1.141237608641534,-0.047278346139217185,91,True,8.19,12,92620012
